refNum,lowBox,lowPaper,highBox,highPaper,lowPrice,highPrice,highLink,lowLink,lowAge,highAge,lowDealerStatus,highDealerStatus,generalLink,dateOfScrape,imageLow,imageHigh,brandLow,brandHigh,website,lowSku,highSku,
116500LN-0001,Yes,Yes,Yes,Yes,39995,39995,https://www.luxurybazaar.com/rolex-watch-116500ln-11,https://www.luxurybazaar.com/rolex-watch-116500ln-11,2021,2021,,,https://www.luxurybazaar.com/search-results?q=116500LN-0001,2022_07_15,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_116500ln_204151_1.jpg,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_116500ln_204151_1.jpg,Rolex,Rolex,LuxuryBazaar,205053,205053,
116500LN-0002,Yes,Yes,Yes,Yes,37995,37995,https://www.luxurybazaar.com/rolex-watch-116500ln-9,https://www.luxurybazaar.com/rolex-watch-116500ln-9,2020,2020,,,https://www.luxurybazaar.com/search-results?q=116500LN-0002,2022_07_15,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_116500ln_203808_1.jpg,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_116500ln_203808_1.jpg,Rolex,Rolex,LuxuryBazaar,203808,203808,
116610LN,Yes,Yes,Yes,Yes,14195,14995,https://www.luxurybazaar.com/rolex-watch-116610ln-9,https://www.luxurybazaar.com/rolex-watch-116610ln-11,2020,2017,,,https://www.luxurybazaar.com/search-results?q=116610LN,2022_07_15,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_116610ln_198034_1a_1.jpeg,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_116610ln_203967_1.jpg,Rolex,Rolex,LuxuryBazaar,205078,203967,
126610LV,Yes,Yes,Yes,Yes,20995,23295,https://www.luxurybazaar.com/rolex-watch-126610lv-3,https://www.luxurybazaar.com/rolex-submariner-date-watch-126610lv-5,2022,2020,,,https://www.luxurybazaar.com/search-results?q=126610LV,2022_07_15,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_204885_34289.jpg,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_126610lv_204148_32127.jpg,Rolex,Rolex,LuxuryBazaar,204885,204148,
116610LV,Yes,Yes,No,No,24995,26295,https://www.luxurybazaar.com/rolex-watch-116610lv-5,https://www.luxurybazaar.com/rolex-watch-116610lv-6,2018,,,,https://www.luxurybazaar.com/search-results?q=116610LV,2022_07_15,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_116610lv_198461_1a.jpeg,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_116610lv_198461_1a.jpg,Rolex,Rolex,LuxuryBazaar,205124,202818,
124060,Yes,Yes,Yes,Yes,15195,15195,https://www.luxurybazaar.com/rolex-watch-124060-9,https://www.luxurybazaar.com/rolex-watch-124060-9,2022,2022,,,https://www.luxurybazaar.com/search-results?q=124060,2022_07_15,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_124060_195333_1_1a_1.jpg,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_124060_195333_1_1a_1.jpg,Rolex,Rolex,LuxuryBazaar,204447,204447,
16610,No,No,No,No,11595,26295,https://www.luxurybazaar.com/rolex-watch-116610lv-5,https://www.luxurybazaar.com/rolex-watch-16610,1999,,,,https://www.luxurybazaar.com/search-results?q=16610,2022_07_15,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_16610_203706_1.jpg,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_116610lv_198461_1a.jpg,Rolex,Rolex,LuxuryBazaar,203706,202818,
114060,Yes,Yes,Yes,Yes,13995,14595,https://www.luxurybazaar.com/rolex-watch-114060-4,https://www.luxurybazaar.com/rolex-watch-114060-3,2020,2020,,,https://www.luxurybazaar.com/search-results?q=114060,2022_07_15,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_114060_204215_32353.jpg,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_204637_33525.jpg,Rolex,Rolex,LuxuryBazaar,204215,204637,
116900,Yes,Yes,Yes,Yes,10795,11595,https://www.luxurybazaar.com/rolex-watch-116900-2,https://www.luxurybazaar.com/rolex-air-king-watch-116900-0001,2022,,,,https://www.luxurybazaar.com/search-results?q=116900,2022_07_15,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_116900_204173_32391.jpg,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_116900_204159_32174.jpg,Rolex,Rolex,LuxuryBazaar,204173,204159,
16570 WHT IX OYS,No,No,No,No,11995,11995,https://www.luxurybazaar.com/rolex-watch-16570-1,https://www.luxurybazaar.com/rolex-watch-16570-1,2000,2000,,,https://www.luxurybazaar.com/search-results?q=16570#/filter:lux_wa_dialcolor:White,2022_07_15,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_16570_204213_32341.jpg,https://www.luxurybazaar.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rolex_16570_204213_32341.jpg,Rolex,Rolex,LuxuryBazaar,204213,204213,
